tourney_name,tourney_date,surface,tourney_level,round,winner_name,loser_name,winner_rank,loser_rank,score,best_of,court,location
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Paul T.,Boyer T.,11,117.0,6-3 6-1,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Griekspoor T.,Zverev A.,43,2.0,4-6 7-6 7-6,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Musetti L.,Safiullin R.,16,69.0,7-5 5-7 6-2,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Humbert U.,Nishikori K.,19,76.0,6-4 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,1st Round,Halys Q.,Carreno Busta P.,59,112.0,6-3 6-4,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,1st Round,Lajovic D.,Tu L.,108,177.0,6-2 6-0,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,1st Round,Van De Zandschulp B.,Kyrgios N.,85,1099.0,7-6 3-0,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,1st Round,Walton A.,Zeppieri G.,96,394.0,7-5 6-1,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,1st Round,Goffin D.,Sonego L.,56,37.0,6-4 7-5,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,1st Round,Borges N.,Rinderknech A.,36,73.0,6-1 5-7 6-2,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,1st Round,Gaston H.,Darderi L.,93,60.0,6-3 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,1st Round,Navone M.,Tien L.,63,68.0,7-5 6-4,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Michelsen A.,Smith C.,32,261.0,6-3 6-4,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Berrettini M.,O Connell C.,29,75.0,6-2 7-6,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,1st Round,Navone M.,Tien L.,63,68.0,7-5 6-4,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,1st Round,Walton A.,Zeppieri G.,96,394.0,7-5 6-1,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,1st Round,Van De Zandschulp B.,Kyrgios N.,85,1099.0,7-6 3-0,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,1st Round,Lajovic D.,Tu L.,108,177.0,6-2 6-0,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,1st Round,Halys Q.,Carreno Busta P.,59,112.0,6-3 6-4,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Humbert U.,Nishikori K.,19,76.0,6-4 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Griekspoor T.,Zverev A.,43,2.0,4-6 7-6 7-6,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Paul T.,Boyer T.,11,117.0,6-3 6-1,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Mpetshi G.,Marozsan F.,30,54.0,6-4,3,Outdoor,Indian Wells
