tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
20250108-ASB_Classi,ASB Classic,Hard,,,20250108,101,,,,Nishesh Basavareddy,,,,,,,,Alex Michelsen,,,,,2-6 6-2 6-4,3,QF,,,,,,,,,,,,,,,,,,,,133,,41.0,
20250109-ASB_Classi,ASB Classic,Hard,,,20250109,102,,,,Gael Monfils,,,,,,,,Facundo Diaz Acosta,,,,,6-3 6-1,3,QF,,,,,,,,,,,,,,,,,,,,52,,78.0,
20250109-ASB_Classi,ASB Classic,Hard,,,20250109,103,,,,Zizou Bergs,,,,,,,,Roberto Carballes Baena,,,,,1-6 6-2 6-3,3,QF,,,,,,,,,,,,,,,,,,,,66,,59.0,
20250109-ASB_Classi,ASB Classic,Hard,,,20250109,104,,,,Nuno Borges,,,,,,,,Jakub Mensik,,,,,6-7 6-2 7-6,3,QF,,,,,,,,,,,,,,,,,,,,36,,49.0,
20250110-ASB_Classi,ASB Classic,Hard,,,20250110,105,,,,Gael Monfils,,,,,,,,Nishesh Basavareddy,,,,,7-6 6-4,3,SF,,,,,,,,,,,,,,,,,,,,52,,133.0,
20250110-ASB_Classi,ASB Classic,Hard,,,20250110,106,,,,Zizou Bergs,,,,,,,,Nuno Borges,,,,,6-2 3-6 7-5,3,SF,,,,,,,,,,,,,,,,,,,,66,,36.0,
20250111-ASB_Classi,ASB Classic,Hard,,,20250111,107,,,,Gael Monfils,,,,,,,,Zizou Bergs,,,,,6-3 6-4,3,F,,,,,,,,,,,,,,,,,,,,52,,66.0,
20250112-Australian,Australian Open,Hard,,,20250112,108,,,,Hugo Gaston,,,,,,,,Omar Jasika,,,,,6-2 3-6 6-2 6-2,5,R128,,,,,,,,,,,,,,,,,,,,81,,179.0,
20250112-Australian,Australian Open,Hard,,,20250112,109,,,,Arthur Fils,,,,,,,,Otto Virtanen,,,,,3-6 7-6 6-4 6-4,5,R128,,,,,,,,,,,,,,,,,,,,21,,93.0,
20250112-Australian,Australian Open,Hard,,,20250112,110,,,,Kei Nishikori,,,,,,,,Thiago Monteiro,,,,,4-6 6-7 7-5 6-2 6-3,5,R128,,,,,,,,,,,,,,,,,,,,76,,105.0,
